Код	Раздел	Ключ	Тип	Формат	"Мин. ширина
или
точность"	Макс. ширина	Обязательность	Многостраничность	Многострочность	Условие включения	Значение по умолчанию	Представление
СумПред		П000100631205	А	N		12	Н					За  аналогичный период предыдущего года
ВПокЦелМер			С				НМ					Вписываемые показатели (по расходам на целевые мероприятия)
НаимПок			А	T	1	255	О					Наименование показателя
СумОтч			А	N		12	О					За отчетный год
СумПред			А	N		12	Н					За  аналогичный период предыдущего года
ИныеМер			С				Н					Иные мероприятия
СумОтч		П000100631304	А	N		12	О					За отчетный год
СумПред		П000100631305	А	N		12	Н					За  аналогичный период предыдущего года
РасхСодАУ			С				Н					Расходы на содержание аппарата управления
СумОтч		П000100632004	А	N		12	О					За отчетный год
СумПред		П000100632005	А	N		12	Н					За аналогичный период предыдущего года
ОплТруд			С				Н					Расходы, связанные с оплатой труда (включая начисления)
СумОтч		П000100632104	А	N		12	О					За отчетный год
СумПред		П000100632105	А	N		12	Н					За  аналогичный период предыдущего года
ВыплНеОТ			С				Н					Выплаты, не связанные с оплатой труда
СумОтч		П000100632204	А	N		12	О					За отчетный год
СумПред		П000100632205	А	N		12	Н					За  аналогичный период предыдущего года
СлужКом			С				Н					Расходы на служебные командировки и деловые поездки
СумОтч		П000100632304	А	N		12	О					За отчетный год
СумПред		П000100632305	А	N		12	Н					За  аналогичный период предыдущего года
ЗданТрансп			С				Н					Содержание помещений, зданий, автомобильного транспорта и иного имущества (кроме ремонта)
СумОтч		П000100632404	А	N		12	О					За отчетный год
СумПред		П000100632405	А	N		12	Н					За  аналогичный период предыдущего года
РемОснСр			С				Н					Ремонт основных средств и иного имущества
СумОтч		П000100632504	А	N		12	О					За отчетный год
СумПред		П000100632505	А	N		12	Н					За  аналогичный период предыдущего года
ВПокСодАУ			С				НМ					Вписываемые показатели (по расходам на содержание аппарата управления)
НаимПок			А	T	1	255	О					Наименование показателя
СумОтч			А	N		12	О					За отчетный год
СумПред			А	N		12	Н					За  аналогичный период предыдущего года
Прочие			С				Н					Прочие
СумОтч		П000100632604	А	N		12	О					За отчетный год
СумПред		П000100632605	А	N		12	Н					За  аналогичный период предыдущего года
ВПокОП			С				НМ					В том числе вписываемые показатели со сведениями по отчетному году и аналогичному периоду предыдущего года
НаимПок			А	T	1	255	О					Наименование показателя
СумОтч			А	N		12	О					За отчетный год
СумПред			А	N		12	Н					За  аналогичный период предыдущего года
ПриобОСИн			С				Н					Приобретение основных средств, инвентаря и иного имущества
СумОтч		П000100633004	А	N		12	О					За отчетный год
СумПред		П000100633005	А	N		12	Н					За  аналогичный период предыдущего года
ВПокИспольз			С				НМ					Вписываемые показатели (по использованию средств)
НаимПок			А	T	1	255	О					Наименование показателя
СумОтч			А	N		12	О					За отчетный год
СумПред			А	N		12	Н					За  аналогичный период предыдущего года
Прочие			С				Н					Прочие
СумОтч		П000100635004	А	N		12	О					За отчетный год
СумПред		П000100635005	А	N		12	Н					За  аналогичный период предыдущего года
ВПокОП			С				НМ					В том числе вписываемые показатели со сведениями по отчетному году и аналогичному периоду предыдущего года
НаимПок			А	T	1	255	О					Наименование показателя
СумОтч			А	N		12	О					За отчетный год
СумПред			А	N		12	Н					За  аналогичный период предыдущего года
ОстатКонОтч			С				О					Остаток средств на конец отчетного года
СумОтч		П000100640004	А	N		12	О					За отчетный год
СумПред		П000100640005	А	N		12	Н					За  аналогичный период предыдущего года
ПояснЗап			С				О			&ЕстьПояснительнаяЗаписка		Пояснительная записка
ОКУД			А	T	7	7	О				0710005	Код формы по ОКУД
НаимФайлПЗ			А	T	1	150	О				&ИмяФайлаПояснительнойЗаписки	Имя файла, содержащего данные пояснительной записки
АудитЗакл			С				Н			&ЕстьАудиторскоеЗаключение		Аудиторское заключение
НаимФайлАЗ			А	T	1	150	О				&ИмяФайлаАудиторскогоЗаключения	Имя файла, содержащего данные аудиторского заключения
ЗаявСХПр			С				Н			&ЕстьЗаявлениеРевизионногоСоюза		Заявление ревизионного союза сельскохозяйственных производителей
НаимФайлЗСХП			А	T	1	150	О				&ИмяФайлаЗаявленияРевизионногоСоюза	Имя файла, содержащего данные заявления ревизионного союза сельскохозяйственных производителей
